Anaphalis margaritacea	phenolic acids, chlorogenic acid, neochlorogenic acid, isochlorogenic acid A, isochlorogenic acid, flavonoids, flavonols, Na(2)B(4)O, NaH(2)PO(4) buffer, Nor-ent-kaurane diterpenes, hydroxylactones, nor-ent-kaurane diterpene, diterpene, scopoletin, sitosterol-3-O-beta-glucopyranoside, Ammonia, nitrate, phosphorus
Apocynum androsaemifolium	ozone, carbon, ethylenediurea, EDU
Aralia hispid
Aralia nudicaulis	ROS, chlorogenic, caffeic, protocatechuic acids, L. rhizome, palitantin, botrallin, craterellin C, mycosporulone, spiromassaritone, massarigenin D, resazurin, polyacetylenes, nudicaulis rhizome, (3R)-falcarinol, (3R, 9R, 10S)-panaxydol, Falcarinol, panaxydol, rifampin, MTT, DMSO, hexane, hexazinone, Hexazinone
Arctostaphylos rubr
Arctostaphylos uva-ursi	arbutin, phenols, crystal violet, CV, nitrogen, N, water, urs, Aflatoxin B1, aflatoxin B1, AFB1, methanolic extract, polyphenols, flavonoids, DDW, methanol, cysteine, phenol, carbonic acids, saponins, glucose, alcohol, dexamethasone, ethanol, Phenologlycoside, phenolic carboxylic acid, gallic acid, hydroxycinnamic acids, fosfomycin, Gurgem-7, taxifolin, chlorogenic acids, hydroxysafflor yellow A, hydroxybenzoic acid, Caco-2, hydroquinone, corilagin, reactive oxygen species, Neutral red, 2',7'-dichlorofluorescein-diacetate, DCFH-DA, oxygen, Hydroquinone, superoxide, DPPH, hydroxyl, nitrosyl radicals, L -tyrosine, 4,6-di-O-galloylglucose, 2,3-di-O-galloylglucose, 1,4,6-tri-O-galloylglucose, 1,2,4,6-tetra-O-galloylglucose, tetra-O-galloylhexose, Water, hyperoside, flavonoid, phenolic, tannins, flavanols, flavonols, saccharide, Arbutin, 1,2,3,4,6-pentagalloylglucose, quercetin 3-galactoside, quercetin 3-glucoside, Quinic acid, ellagic acid, Ethosomal, ethosomal, miR-338-, glycoside, miR-338-3p, miR-338, hydroquinone beta-D-glucoside, catechin, myricetin, phenol glucoside, free, Nicotine, ibuprofen, STE, lipid, Trichostatin A, apicidin, trichostatin A, TSA, butyrate, suberohydroxamic acid, M344, CL-994, valproic acid, sodium phenylbutyrate, lysine, 2,2'-azino-bis-3-ethylbenzothiazoline-6-sulphonic acid, ABTS, Trolox, methoxy radicals, Lipid, oil, lipids, Arb, BEH C18, tetra- and pentagalloylglucose, quercetin, myricetrin, galloyl arbutin, disaccharide, pro-QS, acyl-homoserine lactone, tannic acid, ciprofloxacin, streptomycin, cefotaxime, Uva-ursi folium extract, DPPH radicals, iron, H2O2, polyphenol, peroxide, Polyphenol, ampicillin, kanamycin, oleanolic, ursolic acid, triterpene pentacyclic acids, ursolic acids, maslinic acid, betulinic acid, triterpenic acids, chlorophyll, aluminium, silica gel, chloroform, cephalosporins, salidroside, rosavin, essential oils, Terpenoids, fatty acids, fatty acid, carotenoid, oils, alpha-terpineol, linalool, essential oil, N,O-Bis(trimethylsilyl)acetamide, trimethylchlorosilane, Lipids, triglycerides, p-Nitrophenylpalmitate, 5-bromo-4-chloro-3-indoxylpalmitate, rhodamine 123, Rh123, myricitrin, isoquercetin, metal, 14C, SCFA, NH3, polyethyleneglycol, monensin, phosphorus, PsbS, zeaxanthin, antheraxanthin, Actonel, risedronate, Aldan, amlodipine, Aleras, cetirisine, Aspicam, Baikadent, Debretin, trimebutine, Ferro-Duo, bismuth citrate, Ibum, Upfen, Lastet, etoposide, Legalon, Madopar, benserazide, levodopa, Moxenil, nimesulide, Neurotin, gabapentin, Propranolol, propranolol, Rexetin, paroxetine, Salipax, fluoxetine, Selofen, Stenorol, halofuginone, Stimuloton, sertraline, Superoptim, hipericine, Uversan, arbutine, Copper, copper, Cu, beta-lactams, methicillin, beta-lactam, oxacillin, cefmetazole, Corilagin, sodium, glucosinolates, quinone, picryl chloride, PC-CD, carrageenin, xanthophyll, carotenoids, violaxanthin, chlorophylls, melanin, methanolic, dopa, Phenolic acids, indomethacin, SRBC-DTH, prednisolone, dexamethazone, Prednisolone, SRBC, U-ext, streptozotocin, Piceoside, Antiinflamin, glucosides
Artemisia arctic
Aster ciliolatum	hexazinone, Hexazinone
Aster conspicuu
Aster lanceolatu
Aster macrophyll
Astragalus alpinus	15N, nitrogen
Astragalus australi
Athyrium filix-femina	Water, water, abscisic acid, ABA, mercury, copper, Zn, Cd, Cu, Pb, TC-HMs, metal, Hg, monoterpenes, sesquiterpenes, carotenoid, (E)-2-decenal, isoprenoids, 2-phenylethanal, 1-octen-3-ol, (E)-nerolidol, Polyketides, acylfilicinic acids, alpha-terpineol, beta-caryophyllene, linalool, pinenes, limonene, gamma-terpinen-7-al, Nitrate, agar, arsenic, Arsenic, SDS, Chloride, organochlorines, Cl-chloride, chlorine, organochlorine compounds, VOCls, chloroform, tetrachloromethane, 1,1,1-trichloroethane, CO2, carbon, chlorophyll
Betula glandulosa	isoprene, homoterpene, (E)-4,8-dimethyl-1,3,7-nonatriene, CO2, Betula green, essential oil, linalool, C 6 oxylipins, eugenol, alpha -terpineol, nitrogen, Nitrogen, N, phosphorus, carbon, nitrate, ammonia, polychlorinated biphenyls, PCBs, PCB, macrofossil, charcoal, Aryl hydrocarbon, aryl hydrocarbons, dioxins, polycyclic aromatic hydrocarbons, PAHs, water, aryl hydrocarbon, aryl compound, benzo[a]pyrene
Betula papyrifera	carbon, CO2, glycine, PyC, juglone, Juglone, calcium silicate, nitrogen, phosphorus, calcium, N, P, water, magnesium, Mg, potassium, metal, Metal, carbohydrate, Carbon, sugars, starch, sugar, Carbon Dioxide, O3, eCO2, eO3, ozone, Nitrogen, triose phosphate, Au, Arsenic, As, oil, chlorophyll, Methanol, ethanol, methanol, Catechol, catechol, sodium chloride, salt, sodium, Phosphorus, Ozone, carbon dioxide, Carbon dioxide, lignin, nickel, TBDTs, Fe, phyllosphere, Phyllosphere, Nickel, copper, Cu, alkaline hemicellulose, hemicellulose, xylans, Glutathione, carbohydrates, NSC, Starch, SDI, Pentacyclic Dihydroxy-triterpenoid Betulin, Betulin, 6-6-6-6-5 pentacyclic dihydroxy-triterpenoid, betulin, rhodamine-B, doxorubicin, rhodamine, crystal violet, methylene blue, cresol red, EtOH, H2O, resazurin, gallic acid, ethyl gallate, caffeic acid, sinapic acid, gentisic acid, chlorogenic acid, tannins, Zn, Pb, CO2 +, CO(2), coumaroylquinic acid, betuloside pentoside A, diarylheptanoid hexoside, CO(2)), O(3), carbon (C), organic phosphorus, ecotones, EM, ribulose bisphosphate, RuBP, CO2-O3, 13C, trichocarpa, CO(2) +, alkyl esters, fatty acids, alcohols, sucrose, Fluorescein, fluorescein, decadal, uronic acids, acetone, Al, Be, Ba, Cr, Ga, Rb, Sr, monosaccharides, di- and oligosaccharides, 15N, 15NH4+, nitrate, diarylheptanoid glycosides, MeOH, diarylheptanoid, lignan, flavonoids, chavicol glycosides, diarylheptanoid glycoside, papyriferoside A, 1D, 2D, Platyphylloside, n), aluminum, manganese, boron, mesophyll, oxygen, phospholipid fatty acid, PLFA, abscisic acid, ABA, C, lipids, cellulose, acyclovir, triterpenoid, neutral red, ACV, mercuric chloride, cis-trans-ABA, H2 O2, copper sulphate, Anthocyanins, anthocyanins, anthocyanin, Mercury, mercury, N-acetylglucosamine, 13C-CO2, Phospholipid fatty acid, cellobiose, tannin, carotenoid, glycoside, NH4+, CO, CO2 x, Ach5, Octopine, nopaline, opine, disaccharides, Dilute acid, sulfuric acid, xylan, acetyl, SO2, Ethylene, Ethane, Acetaldehyde, Ethanol, sulfur dioxide, acetaldehyde, ethylene, ethane, O(2), sulfur, lipid, ether, Lipids, Phenylmercuric Acetate, phenylmercuric acetate, PMA, picric acid, trichloroacetic acid, trichloroacetic
Betula pumila	CO2, nitrogen, Nitrogen, N, Carbon, carbon, lipid, carboxylic acids, Phosphatidylcholine, PC, phosphatidylglycerol, PG, lysophosphatidylcholine, LPC, lipids
Bryoria spp.	chromium, Cr, nickel, copper, Cu, iron, Fe, Thalli, aluminum, Al, titanium, Ti, vanadium, nitrogen, N, NO2, delta15N, Sulphur dioxide, SO2
Calamagrostis canadensis	2,4-dinitrotoluene, dinitrotoluene, 2,4-DNT, Triclopyr, Imazapyr, imazapyr, triclopyr, triclopyr foliar, imazapyr foliar, hydrocarbons, petroleum hydrocarbon, PHC, salt, naphthalene, petroleum hydrocarbons, C-naphthalene, hydrocarbon, Nitrogen, nitrogen, delta15N, ammonium, N, Phosphorus, potassium, magnesium, Mg, Calcium, carbohydrate, rhizome carbohydrate, P, water, calcium, phosphorus, Magnesium, sodium
Carex aquatilis	naphthenic acids, polycyclic aromatic hydrocarbons, naphthenic acid, Naphthenic acids, NAs, O3, O4, Sodium, sodium, sulfate, methane, carbon, CH4, water, SO42-, Methane, SO42, Mg, As, Cd, Ti, Al, Cr, Cu, Fe, Ga, Zr, REEs, Ba, Zn, Pb, metal, methanol, oil, CnH2n, zO2, sulfur, chlorophyll a, PM, salt, Aryl hydrocarbon, aryl hydrocarbons, dioxins, PAHs, aryl hydrocarbon, aryl compound, benzo[a]pyrene, polyphenolic polymers, glucose, acetate, lipids, lignocellulose, 14CO2, 14C, 14C-cellulose, [14C-lignin, nitrogen, phosphorus, C-cellulose, C-lignin, CO(2), Nitrogen, NH(4), PO(4), Cellobiose, oxygen, lignins, Phosphorus, Carex, lignin, phosphate, carbohydrate, Phosphate
