species	chemical	frequency	pmid
Abies balsamea	abibalsamins a (1) and b (2)	1	22394397
Abies balsamea	beta-myrcene	1	22394397
Abies balsamea	labdanoid	1	22337889
Abies balsamea	aromatic oleoresin	1	22337889
Abies balsamea	carbon c	1	22337889
Abies balsamea	diphosphate	1	22337889
Abies balsamea	isopimaradiene	1	22337889
Abies balsamea	levopimaradiene	1	22337889
Abies balsamea	abietadiene	1	22337889
Abies balsamea	asp	1	22337889
Abies balsamea	leu	1	22337889
Abies balsamea	phe	1	22337889
Abies balsamea	gly	1	22337889
Abies balsamea	testosterone	2	21186373
Abies balsamea	dibenzylfluorescein	1	21186373
Abies balsamea	dbf	1	21186373
Abies balsamea	nadph	1	21186373
Abies balsamea	chlorophyll	16	19203960, 11986053, 11340042, 11302853
Abies balsamea	zeaxanthin	1	19203960
Abies balsamea	antheraxanthin	1	19203960
Abies balsamea	cresyl violet acetate	1	18708643
Abies balsamea	ba	6	18519253, 18058024
Abies balsamea	as	1	18058024
Abies balsamea	be	1	18058024
Abies balsamea	cr	1	18058024
Abies balsamea	cu	1	18058024
Abies balsamea	ga	2	18058024
Abies balsamea	sr	3	18058024
Abies balsamea	metal	1	18058024
Abies balsamea	rufipenne	1	17849882
Abies balsamea	mercury	10	17057985, 12109479
Abies balsamea	balsamea essential oil	1	16619365
Abies balsamea	beta-pinene	2	16619365
Abies balsamea	delta-3-carene	2	16619365
Abies balsamea	alpha-pinene	2	16619365
Abies balsamea	beta-caryophyllene	1	16619365
Abies balsamea	alpha-humulene	6	16619365, 12802719
Abies balsamea	carbohydrates	1	16585037
Abies balsamea	carbohydrate	6	16585037, 12651363, 11340042, 28308769
Abies balsamea	biu	1	15568352
Abies balsamea	abg	2	14994805
Abies balsamea	oxygen	1	12802719
Abies balsamea	caryophyllene oxide	1	12802719
Abies balsamea	gamma-caryophyllene	1	12802719
Abies balsamea	gsh	3	12802719
Abies balsamea	ethrel	19	12651363, 14871721, 14966008, 14972810
Abies balsamea	lanolin	10	12651363, 14871721, 14966008
Abies balsamea	fructose	2	12651363
Abies balsamea	sucrose	1	12651363
Abies balsamea	sugar	2	12020367, 14972929
Abies balsamea	acetic acid	1	11960755
Abies balsamea	indole-3-acetic acid	4	11960755, 14871721, 14966008
Abies balsamea	iaa	17	11960755, 14871721, 14966008, 14972810
Abies balsamea	potassium	2	11340042
Abies balsamea	-acetic acid	1	14871721
Abies balsamea	tracheid	4	14871721, 14966008
Abies balsamea	dimethoate	5	24197796
Abies balsamea	diazinon	6	24197796
Abies balsamea	organophosphorus	1	24197796
Abies balsamea	2-pam	1	24197796
Abies balsamea	2-chloroethylphosphonic acid	2	14966008, 14972810
Abies balsamea	co	4	14966008
Abies balsamea	2-[n-morpholine]ethanesulfonic acid	1	7859710
Abies balsamea	mes	2	7859710
Abies balsamea	sodium dodecyl sulphate-polyacrylamide gel	1	7859710
Abies balsamea	glycan	1	7859710
Abies balsamea	graphite	1	7859710
Abies balsamea	copper	1	7859710
Abies balsamea	periodate	1	7859710
Abies balsamea	tannins	2	28313739
Abies balsamea	bornyl acetate	1	28313739
Abies balsamea	terpinolene	1	28313739
Abies balsamea	-3-carene	1	28313739
Abies balsamea	auxin	2	14972810
Abies balsamea	indol-3-ylacetic acid	1	14972810
Abies balsamea	1-aminocyclopropane-1-carboxylic acid	1	14972810
Abies balsamea	mucronate	1	19290214
Abies balsamea	enniatins	1	24276128
Abies balsamea	avenaceum	1	24276128
Abies balsamea	enniatin	1	24276128
Abies balsamea	enniatin a	1	24276128
Abies balsamea	a1	1	24276128
Abies balsamea	indolebutyric acid	1	856724
Abies balsamea	iba	1	856724
Abies balsamea	n-dimethylaminosuccinamic acid	1	856724
Abies balsamea	alar-85	1	856724
Abies balsamea	1-phenyl-3-methyl-5-pyrazolone	1	856724
Abies balsamea	ppz	1	856724
Abies balsamea	caffeic acid	1	856724
Abies balsamea	sesquiterpenoid ester	1	5919750
Abies balsamea	methyl ester	1	5919750
Abies balsamea	todomatuic acid	1	5919750
Acer spicatum	co2	8	24146894
Acer spicatum	water	2	24146894
Acer spicatum	triose phosphate	1	24146894
Acer spicatum	lcp	1	24146894
Agrostis spp.	abw	2	29740738, 27353253
Agrostis spp.	terpenoids	1	29740738
Agrostis spp.	(z)-3-hexenyl acetate	1	29740738
Agrostis spp.	phenyl ethyl alcohol	1	29740738
Agrostis spp.	silicon	2	27353253
Agrostis spp.	water	2	21616816, 30812735
Agrostis spp.	n	2	21616816
Agrostis spp.	gm	4	17555232
Agrostis spp.	glyphosate	1	17555232
Alectoria ochroleuca	usnic acid	30	35501033, 35439526, 26751081, 26349231, 20143294
Alectoria ochroleuca	water	3	35501033, 28312982
Alectoria ochroleuca	usnic acids	1	35439526
Alectoria ochroleuca	cetuximab	1	26751081
Alectoria ochroleuca	unic acid	1	26349231
Alectoria ochroleuca	thalli	1	26349231
Alectoria ochroleuca	carbon	2	28312982
Alectoria sarmentosa	flucytosine	1	35881248
Alectoria sarmentosa	fluconazole	1	35881248
Alectoria sarmentosa	polysaccharides	1	33693712
Alectoria sarmentosa	usnic acid	2	25039211
Alectoria sarmentosa	melanins	1	25039211
Alectoria sarmentosa	chlorophyll	1	25039211
Alectoria sarmentosa	melanin	1	25039211
Alectoria sarmentosa	nitrogen	5	21534972, 20731782
Alectoria sarmentosa	phosphorus	2	21534972
Alectoria sarmentosa	n	25	21534972, 20731782
Alectoria sarmentosa	carbon	1	21534972
Alectoria sarmentosa	p	3	21534972, 20731782
Alectoria sarmentosa	sulfur	6	20864235, 8608772
Alectoria sarmentosa	s	1	20864235
Alectoria sarmentosa	oil	3	20864235, 15093022, 11806451
Alectoria sarmentosa	water	3	20731782, 18305964
Alectoria sarmentosa	phosphorus (p)	1	20731782
Alectoria sarmentosa	metal	3	18289751, 8608772
Alectoria sarmentosa	copper	1	18289751
Alectoria sarmentosa	cu	2	18289751
Alectoria sarmentosa	cd	2	18289751
Alectoria sarmentosa	pb	2	18289751
Alectoria sarmentosa	ba	1	18289751
Alectoria sarmentosa	sea salt sulphate	1	15093022
Alectoria sarmentosa	sulphate	1	15093022
Alectoria sarmentosa	sulphur	1	11806451
Alectoria sarmentosa	bonavista	1	11806451
Alectoria sarmentosa	ethylene	9	8608772
Alectoria sarmentosa	thalli	1	8608772
Alectoria sarmentosa	h2so4	5	8608772
Alectoria sarmentosa	nahso3	3	8608772
Alectoria sarmentosa	h2o	1	8608772
Alectoria sarmentosa	so2	1	8608772
Alectoria sarmentosa	alectosarmentin	2	7964789
Alectoria sarmentosa	dibenzofuranoid	2	7964789
Alectoria sarmentosa	lactol	2	7964789
Alectoria sarmentosa	(-)-usnic acid	1	7964789
Alectoria sarmentosa	physodic acid	1	7964789
Alectoria sarmentosa	8'-o-ethyl-beta-alectoronic acid	1	7964789
Alnus crispa	aryl hydrocarbon	4	17373513
Alnus crispa	aryl hydrocarbons	3	17373513
Alnus crispa	dioxins	1	17373513
Alnus crispa	polycyclic aromatic hydrocarbons	1	17373513
Alnus crispa	pahs	1	17373513
Alnus crispa	water	1	17373513
Alnus crispa	aryl compound	1	17373513
Alnus crispa	benzo[a]pyrene	1	17373513
Alnus crispa	nitrogen	13	28466167, 922604, 1220859, 167930, 30139095
Alnus crispa	n	2	28466167
Alnus crispa	pinosylvin	2	24306672
Alnus crispa	methyl ether	2	24306672
Alnus crispa	pinosylvin methyl ether	1	24306672
Alnus crispa	fluorescein	1	922604
Alnus crispa	polysaccharide	2	922604
Alnus crispa	fluorescein isothiocyanate	1	1220859
Alnus crispa	immunoferritin	1	1220859
Alnus crispa	diaminopimelic acid	1	1220859
Alnus crispa	glucose	1	1220859
Alnus crispa	mannose	1	1220859
Alnus crispa	sugar	2	1220859
Alnus crispa	sugars	1	1220859
Alnus crispa	arabinose	1	1220859
Alnus crispa	rhamnose	1	1220859
Alnus crispa	becane	1	167930
Alnus crispa	acetylene	1	30139095
Alnus crispa	ethylene	2	30139095
Alnus rugosa	baicalein 5,6-dimethyl ether	8	34207381
Alnus rugosa	scopolamine	2	34207381
Alnus rugosa	flavonoid	1	34207381
Alnus rugosa	sco	2	34207381
Alnus rugosa	water	8	17169902, 24249065
Alnus rugosa	nitrogen	3	8573482, 1220859
Alnus rugosa	hco 3	3	24249065
Alnus rugosa	fe hydrous oxides	2	24249065
Alnus rugosa	fluorescein isothiocyanate	1	1220859
Alnus rugosa	immunoferritin	1	1220859
Alnus rugosa	diaminopimelic acid	1	1220859
Alnus rugosa	glucose	1	1220859
Alnus rugosa	mannose	1	1220859
Alnus rugosa	sugar	2	1220859
Alnus rugosa	sugars	1	1220859
Alnus rugosa	arabinose	1	1220859
Alnus rugosa	rhamnose	1	1220859
Alnus tenuifolia	sere	1	23731390
Alnus tenuifolia	nitrogen	2	23731390
Alnus tenuifolia	n	2	23731390
Alnus tenuifolia	carbon	1	23731390
Alnus tenuifolia	ice	1	4371331
Amelanchier alnifolia	polyphenols	15	37664004, 36232450, 35889416, 32326580, 31540276, 29624272, 24476215, 24126375, 22220589, 18066116
Amelanchier alnifolia	polyphenolic	1	37664004
Amelanchier alnifolia	cyanidins	1	37664004
Amelanchier alnifolia	delphinidins	1	37664004
Amelanchier alnifolia	peonidins	1	37664004
Amelanchier alnifolia	anthocyanins	22	37664004, 32668797, 32230955, 31518840, 29624272, 28554632, 28531138, 25562425, 24476215, 24126375, 18211018, 18066116, 17994693, 15997850
Amelanchier alnifolia	polyphenol	8	37664004, 35889416, 29624272, 18922015
Amelanchier alnifolia	quercetin	6	37664004, 24126375, 22220589, 17994693
Amelanchier alnifolia	anthocyanin	11	37664004, 36234982, 25562425, 22220589, 18922015, 18066116, 17994693, 15997850
Amelanchier alnifolia	ozone	9	36234982, 36232450, 15093041, 11202740
Amelanchier alnifolia	sugars	2	36234982
Amelanchier alnifolia	sugar	1	36234982
Amelanchier alnifolia	polyphenolic compounds	7	36234982, 32668797, 31540276, 29624272, 28554632, 28531138
Amelanchier alnifolia	3-o-glucoside	1	36234982
Amelanchier alnifolia	cyanidin	3	36234982, 18066116, 17994693
Amelanchier alnifolia	ascorbic acid	4	36234982, 22842642
Amelanchier alnifolia	dpph	5	36234982, 29579930, 27873945, 18922015
Amelanchier alnifolia	abts	5	36234982, 32326580, 28531138, 18922015
Amelanchier alnifolia	vitamin c	1	36232450
Amelanchier alnifolia	ethanol	4	35889416, 29579930, 24476215
Amelanchier alnifolia	thiessen	2	35889416, 19449814
Amelanchier alnifolia	thidiazuron	1	34204118
Amelanchier alnifolia	tdz	2	34204118
Amelanchier alnifolia	indole-3-butyric acid	1	34204118
Amelanchier alnifolia	iba	1	34204118
Amelanchier alnifolia	indole-3-acetic acid	2	34204118, 29454893
Amelanchier alnifolia	iaa	2	34204118, 29454893
Amelanchier alnifolia	mgso4	2	32722012
Amelanchier alnifolia	cacl2	2	32722012
Amelanchier alnifolia	kh2po4	2	32722012
Amelanchier alnifolia	brigitta blue	1	32722012
Amelanchier alnifolia	maltodextrin	4	32668797, 32326580
Amelanchier alnifolia	phenols	4	32668797, 22220589
Amelanchier alnifolia	trolox	5	32326580, 28531138, 24476215, 18066116
Amelanchier alnifolia	pomace	2	32326580, 24476215
Amelanchier alnifolia	(-)-epicatechin	3	32326580, 25562425, 22220589
Amelanchier alnifolia	flavanol	1	32326580
Amelanchier alnifolia	flavonols	11	32230955, 31518840, 29624272, 28554632, 28531138, 25562425, 24476215, 24126375, 17994693
Amelanchier alnifolia	ellagitannins	2	32230955, 29579930
Amelanchier alnifolia	phenolic acids	4	32230955, 28554632, 28531138, 18211018
Amelanchier alnifolia	carbohydrate	1	32230955
Amelanchier alnifolia	triglycerides	1	32230955
Amelanchier alnifolia	fatty acids	1	32230955
Amelanchier alnifolia	glucose	3	32230955, 22796507
Amelanchier alnifolia	cholesterol	1	32230955
Amelanchier alnifolia	monophosphate nucleotides	4	31540276
Amelanchier alnifolia	free amino acids	2	31540276
Amelanchier alnifolia	essential free amino acids	1	31540276
Amelanchier alnifolia	uridine 5'-monophosphate	1	31540276
Amelanchier alnifolia	hydroxy-l-proline	1	31540276
Amelanchier alnifolia	o-phosphoethanolamine	1	31540276
Amelanchier alnifolia	l-citruline	1	31540276
Amelanchier alnifolia	terpenoid	1	31518840
Amelanchier alnifolia	hydroxycinnamic acids	3	31518840, 22220589
Amelanchier alnifolia	triterpenoids	4	31518840, 28554632, 28531138
Amelanchier alnifolia	tetraterpenids	1	31518840
Amelanchier alnifolia	procyanidins	3	31518840, 17199327
Amelanchier alnifolia	lipids	1	29624272
Amelanchier alnifolia	flavonoids	13	29624272, 29579930, 25562425, 24476215, 24391361, 24126375, 27873945, 17994693
Amelanchier alnifolia	free radicals	1	29624272
Amelanchier alnifolia	oxygen radical	2	29579930, 24476215
Amelanchier alnifolia	free radical	1	29579930
Amelanchier alnifolia	rhamnoides	1	29579930
Amelanchier alnifolia	flavonol	5	29579930, 25562425, 18922015, 17994693
Amelanchier alnifolia	glycosides	2	29579930, 22220589
Amelanchier alnifolia	pranthocyanidins	1	29579930
Amelanchier alnifolia	flavan-3-ols	3	29579930, 28554632, 28531138
Amelanchier alnifolia	n6-benzyladenine	1	29454893
Amelanchier alnifolia	ba	1	29454893
Amelanchier alnifolia	isopentenyladenine	1	29454893
Amelanchier alnifolia	ip	1	29454893
Amelanchier alnifolia	meta-topolin	1	29454893
Amelanchier alnifolia	6-(3-hydroxybenzylamino)-9-(tetrahydropyran-2-yl)purine	1	29454893
Amelanchier alnifolia	mtthp	3	29454893
Amelanchier alnifolia	ribosides	1	29454893
Amelanchier alnifolia	o-glucosides	1	29454893
Amelanchier alnifolia	carotenoids	4	28554632, 28531138, 18211018
Amelanchier alnifolia	chlorophylls	2	28554632, 28531138
Amelanchier alnifolia	tocopherols	3	28554632, 19449814
Amelanchier alnifolia	dm	4	28531138
Amelanchier alnifolia	proanthocyanidin	6	25562425, 24126375, 22220589, 17199327
Amelanchier alnifolia	proanthocyanidins	8	25562425, 22220589, 18211018, 17199327
Amelanchier alnifolia	flavonoid	8	25562425, 24126375, 27873945
Amelanchier alnifolia	acy	3	24476215
Amelanchier alnifolia	chlorogenic acids	1	24476215
Amelanchier alnifolia	water	3	24476215, 22796507, 19227059
Amelanchier alnifolia	quercitin 3- galactoside	1	24391361
Amelanchier alnifolia	3-glucosideshowed	1	24391361
Amelanchier alnifolia	rutin	1	24126375
Amelanchier alnifolia	flavanes	1	24126375
Amelanchier alnifolia	flavoinoids	1	24126375
Amelanchier alnifolia	organic acids	1	22842642
Amelanchier alnifolia	nitrogen	4	22842642, 15093041
Amelanchier alnifolia	phosphorus	2	22842642
Amelanchier alnifolia	potassium	2	22842642
Amelanchier alnifolia	calcium	2	22842642
Amelanchier alnifolia	magnesium	1	22842642
Amelanchier alnifolia	sodium	1	22842642
Amelanchier alnifolia	ethyl acetate	1	22796507
Amelanchier alnifolia	serviceberry leaf extract	2	22796507
Amelanchier alnifolia	sucrose	1	22796507
Amelanchier alnifolia	starch	1	22796507
Amelanchier alnifolia	carbohydrates	1	22796507
Amelanchier alnifolia	acarbose	1	22796507
Amelanchier alnifolia	cyanidin-based anthocyanins	1	22220589
Amelanchier alnifolia	flavonol glycosides	2	22220589
Amelanchier alnifolia	protocatechuic acid	1	22220589
Amelanchier alnifolia	kaempferol	1	22220589
Amelanchier alnifolia	catechins	2	22220589
Amelanchier alnifolia	neolignans	1	22220589
Amelanchier alnifolia	quercetin 3-galactoside	1	22220589
Amelanchier alnifolia	3-glucoside	1	22220589
Amelanchier alnifolia	chlorogenic acid	2	22220589, 17994693
Amelanchier alnifolia	flavanone	1	22220589
Amelanchier alnifolia	hydroxybenzoic acids	1	22220589
Amelanchier alnifolia	eriodictyol 7-glucoside	1	22220589
Amelanchier alnifolia	verrucose	1	30731937
Amelanchier alnifolia	rugose	1	30731937
Amelanchier alnifolia	oil	6	19449814
Amelanchier alnifolia	fatty acid	1	19449814
Amelanchier alnifolia	triacylglycerol	1	19449814
Amelanchier alnifolia	tocopherol	2	19449814
Amelanchier alnifolia	sterol	1	19449814
Amelanchier alnifolia	seed oils	4	19449814, 18066116
Amelanchier alnifolia	linoleic acid	1	19449814
Amelanchier alnifolia	oleic acid	1	19449814
Amelanchier alnifolia	alpha-tocopherol	1	19449814
Amelanchier alnifolia	vitamin e	1	19449814
Amelanchier alnifolia	sterols	3	19449814
Amelanchier alnifolia	beta-sitosterol	1	19449814
Amelanchier alnifolia	delta(5)-avenasterol	1	19449814
Amelanchier alnifolia	campesterol	1	19449814
Amelanchier alnifolia	seed oil	4	19449814, 18066116
Amelanchier alnifolia	triacylglycerols	1	19449814
Amelanchier alnifolia	unsaturated fatty acids	2	19449814, 18066116
Amelanchier alnifolia	procyanidin	4	18922015, 17199327
Amelanchier alnifolia	lipid	3	18211018, 15997850
Amelanchier alnifolia	cyanidin-3-glucoside	1	18066116
Amelanchier alnifolia	gallic acid	1	18066116
Amelanchier alnifolia	anthocyanidins	1	18066116
Amelanchier alnifolia	delphinidin	1	18066116
Amelanchier alnifolia	pelargonidin	1	18066116
Amelanchier alnifolia	petunidin	1	18066116
Amelanchier alnifolia	peonidin	1	18066116
Amelanchier alnifolia	malvidin	1	18066116
Amelanchier alnifolia	gamma-linolenic acid	1	18066116
Amelanchier alnifolia	cyanidin 3-o-galactoside	1	17994693
Amelanchier alnifolia	cyanidin 3-o-glucoside	1	17994693
Amelanchier alnifolia	cyanidin 3-o-arabinoside	1	17994693
Amelanchier alnifolia	cyanidin 3-o-xyloside	1	17994693
Amelanchier alnifolia	quercetin 3-o-glucoside	1	17994693
Amelanchier alnifolia	quercetin 3-o-galactoside	1	17994693
Amelanchier alnifolia	quercetin 3-o-arabinoside	1	17994693
Amelanchier alnifolia	quercetin 3-o-xyloside	1	17994693
Amelanchier alnifolia	quercetin 3-o-arabinoglucoside	1	17994693
Amelanchier alnifolia	quercetin 3-o-robinobioside	1	17994693
Amelanchier alnifolia	quercetin 3-o-rutinoside	1	17994693
Amelanchier alnifolia	hydroxycinnamates	2	17994693
Amelanchier alnifolia	3-o-caffeoylquinic acid	1	17994693
Amelanchier alnifolia	5-o-caffeoylquinic acid	1	17994693
Amelanchier alnifolia	hydroxycinnamate	1	17994693
Amelanchier alnifolia	epicatechin	1	17199327
Amelanchier alnifolia	hexazinone	2	16102889
Amelanchier alnifolia	cyanidin 3-galactoside	1	15997850
Amelanchier alnifolia	cyanidin 3-glucoside	1	15997850
Amelanchier alnifolia	aspirin	1	15997850
Amelanchier alnifolia	celebrex	1	15997850
Amelanchier alnifolia	vioxx	1	15997850
Amelanchier alnifolia	cyanidin (3)	1	15997850
Amelanchier alnifolia	butylated hydoxyanisole	1	15997850
Amelanchier alnifolia	butylated hydroxytoluene	1	15997850
Amelanchier alnifolia	tert-butylhydroxyquinone	1	15997850
Amelanchier alnifolia	sulfur dioxide	4	15093041, 11202740
Amelanchier alnifolia	hydrocarbons	2	15093041, 11202740
Amelanchier alnifolia	sulfur	2	15093041, 11202740
Amelanchier alnifolia	o(3)	1	15093041
Amelanchier alnifolia	lithium chloride	2	8014154, 2158963
Amelanchier alnifolia	b (sb)	1	2332399
Amelanchier alnifolia	licl	4	2158963
Amelanchier alnifolia	hydrogen cyanide	6	16661397, 6244889
Amelanchier sanguinea	water	2	34853963
Amelanchier sanguinea	polysaccharides	2	34853963
Amelanchier sanguinea	nitric oxide	1	34853963
Amelanchier sanguinea	flavonoids	4	30417671
Amelanchier sanguinea	triterpenes	4	30417671
Amelanchier sanguinea	agamic	1	9000756
Anaphalis margaritacea	phenolic acids	5	37381974
Anaphalis margaritacea	chlorogenic acid	3	37381974
Anaphalis margaritacea	neochlorogenic acid	1	37381974
Anaphalis margaritacea	isochlorogenic acid a	1	37381974
Anaphalis margaritacea	isochlorogenic acid	1	37381974
Anaphalis margaritacea	flavonoids	2	19269457
Anaphalis margaritacea	flavonols	1	19269457
Anaphalis margaritacea	na(2)b(4)o	1	19269457
Anaphalis margaritacea	nah(2)po(4) buffer	1	19269457
Anaphalis margaritacea	nor-ent-kaurane diterpenes	1	15451313
Anaphalis margaritacea	hydroxylactones	1	15451313
Anaphalis margaritacea	nor-ent-kaurane diterpene	1	15451313
Anaphalis margaritacea	diterpene	1	15451313
Anaphalis margaritacea	scopoletin	1	15451313
Anaphalis margaritacea	sitosterol-3-o-beta-glucopyranoside	1	15451313
Anaphalis margaritacea	ammonia	1	15257450
Anaphalis margaritacea	nitrate	1	15257450
Anaphalis margaritacea	phosphorus	1	15257450
Apocynum androsaemifolium	ozone	7	15093075
Apocynum androsaemifolium	carbon	1	15093075
Apocynum androsaemifolium	ethylenediurea	1	15093075
Apocynum androsaemifolium	edu	2	15093075
Aralia nudicaulis	ros	3	34361611
Aralia nudicaulis	chlorogenic	1	34361611
Aralia nudicaulis	caffeic	1	34361611
Aralia nudicaulis	protocatechuic acids	1	34361611
Aralia nudicaulis	l. rhizome	1	34361611
Aralia nudicaulis	palitantin	1	26669092
Aralia nudicaulis	botrallin	1	26669092
Aralia nudicaulis	craterellin c	1	26669092
Aralia nudicaulis	mycosporulone	1	26669092
Aralia nudicaulis	spiromassaritone	1	26669092
Aralia nudicaulis	massarigenin d	1	26669092
Aralia nudicaulis	resazurin	3	22234257, 20657619
Aralia nudicaulis	polyacetylenes	2	22234257
Aralia nudicaulis	nudicaulis rhizome	1	22234257
Aralia nudicaulis	(3r)-falcarinol	1	22234257
Aralia nudicaulis	(3r, 9r, 10s)-panaxydol	1	22234257
Aralia nudicaulis	falcarinol	2	22234257
Aralia nudicaulis	panaxydol	2	22234257
Aralia nudicaulis	rifampin	1	20657619
Aralia nudicaulis	mtt	1	20657619
Aralia nudicaulis	dmso	1	20657619
Aralia nudicaulis	hexane	2	16827159
Aralia nudicaulis	hexazinone	2	16102889
Arctostaphylos uva-ursi	arbutin	86	36145700, 35953755, 35408643, 35143933, 34946773, 34493038, 34325633, 33146000, 32971908, 32495959, 29970072, 29696482, 26798166, 25702282, 24296864, 22712621, 21331974, 19609883, 18066112, 17674527, 11705262, 1875280, 2355310, 1693958, 4040436, 1171730, 4798184
Arctostaphylos uva-ursi	phenols	3	36145700, 34946773, 32971908
Arctostaphylos uva-ursi	crystal violet	1	36145700
Arctostaphylos uva-ursi	cv	1	36145700
Arctostaphylos uva-ursi	nitrogen	3	36099949, 22150512
Arctostaphylos uva-ursi	n	12	36099949
Arctostaphylos uva-ursi	water	23	36099949, 36009632, 35408643, 35019793, 32495959, 29696482, 27043639, 24500005, 18819947, 9848213, 1469616, 7314446, 4798184
Arctostaphylos uva-ursi	urs	1	36009632
Arctostaphylos uva-ursi	aflatoxin b1	2	36009632
