"","species","chemical","frequency","pmid"
"72","Moss","arginine",55,"36945646, 36786691, 36497109, 35124444, 32905770, 32092898, 31543703, 31299246, 30580036, 30500844, 30429362, 30267646, 30097868, 30097866, 29943488, 29234005, 28749584, 28559451, 28448144, 27400413, 25392530, 24867069, 24676022, 24356560, 23918883"
"73","Moss","lysine",27,"36888590, 36786691, 35439434, 35235780, 34713507, 33793927, 32672451, 32115029, 31543703, 31285563, 31076518, 31002117, 30966791, 29092909, 29053729, 26033369, 25221664"
"74","Moss","glutamic acid",4,"36888590, 26594078, 26582590"
"75","Moss","aspartic acid",2,"36888590, 28167762"
"76","Moss","lys",7,"36786691, 30377494, 27503561"
"77","Moss","phe",18,"36455665, 34415270, 33724460, 33385892, 32274001, 30377494, 25269599"
"78","Moss","histidine",16,"36384069, 35636249, 34086383, 29943488, 29758545, 29163580, 28963347, 27902285, 27234318, 26579093, 26026386, 25735654"
"79","Moss","glycine",10,"36344936, 36094342, 29684179, 28286471, 26582590, 25014137, 24498355, 24225886"
"80","Moss","thr",7,"36340147, 35736511, 29092909, 24596240"
"81","Moss","alanine",20,"36263376, 34188775, 33510258, 32170749, 31617582, 31239352, 30911015, 28817652, 28261207, 28167762, 26582590, 25733865, 24709588, 24498355, 24374350"
"82","Moss","proline",34,"36176693, 36067040, 36035699, 35810254, 37744113, 34977300, 34528073, 34207224, 33737944, 33688035, 33442693, 32867085, 32172769, 31822979, 31434576, 31236224, 31228820, 30580036, 29549614, 28798765, 30128114, 27085182, 26277721, 24631264, 24225886, 23988504"
"83","Moss","glutamine",27,"36015461, 33804757, 31178690, 29743038, 28824666, 27829138, 26920219, 26147379, 24867069, 24799285"
"84","Moss","pro",3,"35810254, 30128114"
"85","Moss","leucine",12,"34903581, 33389562, 32310291, 32279230, 28559451, 28241081, 28173747, 25020226"
"86","Moss","val",3,"34220466, 33090650, 27177841"
"87","Moss","valine",6,"34188775, 32310291, 29743038, 27902285, 25020226, 23988504"
"88","Moss","d",1,"32933093"
"89","Moss","gly",4,"32917738, 30377494, 28366003, 24928908"
"90","Moss","ser",12,"32620552, 31239352, 29092909, 27177841, 24894704"
"91","Moss","methionine",8,"32416837, 32019881, 31717385, 30525218, 29767134, 26641306, 25903347"
"92","Moss","isoleucine",1,"32310291"
"93","Moss","threonine",8,"32115029, 31396048, 31178690, 29092909, 29767134, 24139641"
"94","Moss","met",1,"30377494"
"95","Moss","leu",3,"30377494, 25269599"
"96","Moss","ile",1,"30377494"
"97","Moss","asp",3,"29169567, 28366003, 25269599"
"98","Moss","tyr",4,"28749584, 25269599"
"99","Moss","glu",2,"28366003"
"100","Moss","cys",1,"26872532"
"101","Moss","r",1,"26703784"
"102","Moss","gln",13,"26147379"
"103","Moss","asparagine",1,"25020226"
"104","Mushrooms","asparagine",3,"37817159, 28436326, 15521174"
"105","Mushrooms","asn",5,"37817159, 18991563"
"106","Mushrooms","tryptophan",26,"37659744, 37627983, 37509820, 36570003, 36513520, 36459169, 34918387, 34400332, 33800437, 36605716, 32531629, 28245582, 27481295, 26074742, 22834303, 19093913, 16101298, 10347700, 9644258, 8828624, 3507669, 6626515, 7188908, 5750416"
"107","Mushrooms","methionine",17,"37627983, 37295210, 33233206, 31125946, 29701491, 29531252, 28436326, 28245582, 27989114, 27910792, 26559861, 23983506, 18087869, 10748021, 10412512, 6626515"
"108","Mushrooms","tyrosine",32,"37598381, 35191774, 35075427, 34918387, 34877949, 34796507, 34451856, 34199629, 33519727, 33389856, 32531629, 31921028, 30871325, 29306981, 28245582, 26255339, 24999438, 24940904, 24295699, 19093913, 15016563, 12949171, 12359248, 11714352, 24394309, 4990583, 13940465, 14465828"
"109","Mushrooms","serine",31,"37525917, 36746560, 36500238, 36327140, 34375520, 34361776, 33822507, 32887476, 32711757, 32306051, 31179460, 29953361, 29750381, 28245582, 27642126, 26853964, 25463744, 25034500, 24615526, 22923115, 21071214, 20564017, 17827679, 11302474, 10728662, 6893271"
"110","Mushrooms","threonine",15,"37525917, 36983507, 33084956, 30064799, 29953361, 29669203, 28245582, 25560993, 24999438, 23997632, 17029671, 7770041"
"111","Mushrooms","glycine",12,"37509820, 36060741, 28245582, 26058418, 21384879, 19846555, 23997604, 16506799, 24049468, 7770041"
"112","Mushrooms","isoleucine",16,"37509820, 37295210, 37075086, 36313094, 33519727, 33084956, 28245582, 27910792, 24999438, 18156785, 1286940, 2599760"
"113","Mushrooms","glutamic acid",28,"37509806, 34591400, 33580387, 33389856, 33233206, 31539240, 30629799, 28436326, 28245582, 27910774, 27813595, 27579012, 26304449, 25560993, 22577978, 22539071, 21166481, 23983533, 23997632, 10347700, 6131022, 987665, 13922177, 13789122"
"114","Mushrooms","histidine",22,"37475654, 34715934, 33709431, 33084956, 32479005, 31539240, 29276826, 28245582, 26772879, 26559861, 25022513, 24999438, 23557367, 19850012, 23983533, 12616600, 2032657, 375083"
"115","Mushrooms","proline",11,"37447092, 35944091, 34400332, 32531629, 28436325, 20564017, 23997632, 17682769, 1855835"
"116","Mushrooms","lysine",47,"37347174, 35075427, 35049977, 34798813, 34693112, 33854169, 33426839, 31311503, 30064799, 29953361, 29762522, 28245582, 26028768, 24999438, 22539071, 23997632, 11855618, 10412512, 10347700, 9644258, 9374478, 3894320, 5750417"
"117","Mushrooms","phenylalanine",16,"37312521, 35907449, 34820866, 34796507, 34369774, 34309037, 33804109, 32711757, 31151613, 28245582, 27989114, 27924413, 24999438, 22953846, 22539071, 11141287"
"118","Mushrooms","cysteine",29,"37312521, 36113585, 34990226, 34689561, 33147286, 32711757, 32479005, 31125946, 30623660, 28436326, 28436325, 28245582, 27910792, 27030509, 26559861, 24295699, 22923115, 18087869, 11814336, 10754238, 10748021, 10369965, 7590391, 6626515"
"119","Mushrooms","alanine",22,"37295210, 37181306, 36461385, 35075427, 34309037, 33519727, 33233206, 32887476, 30871325, 29762522, 28245582, 27910775, 27579012, 24295699, 23510249, 19827746, 18156785, 17029671, 24049506, 11055413"
"120","Mushrooms","ala",2,"37295210, 37080114"
"121","Mushrooms","met",5,"37295210, 37220684"
"122","Mushrooms","valine",11,"37295210, 37075086, 36684732, 36313094, 33233206, 33084956, 32887476, 28245582"
"123","Mushrooms","val",1,"37295210"
"124","Mushrooms","leucine",33,"37295210, 37075086, 36770790, 36684732, 36313094, 35745172, 34309037, 33389856, 33084956, 32887476, 32865897, 30629799, 28245582, 27579012, 26938194, 24999438, 18448367, 18156785, 18087869, 17029671, 15488989, 10412512, 10369965, 10347700, 6766171"
"125","Mushrooms","leu",4,"37295210, 33711408, 15812643"
"126","Mushrooms","cys",11,"37220684, 36550784, 36122804, 34689561, 32711757"
"127","Mushrooms","gly",3,"37189390, 32786881, 7571860"
"128","Mushrooms","ser",10,"37080114, 36776961, 32711757, 23497867, 14586131, 10728662"
"129","Mushrooms","arginine",27,"36983507, 36972819, 36684732, 36521696, 36461385, 35199807, 35075427, 34400332, 34199038, 33233206, 33136174, 33107089, 32711757, 30064799, 29953361, 28245582, 27579012, 23997604, 10728662"
"130","Mushrooms","arg",9,"36832778, 35816703, 32711757, 15812643, 10728662, 10220175, 7571860"
"131","Mushrooms","tyr",8,"36832778, 29306981, 24425348, 22805853, 19344689"
"132","Mushrooms","glutamine",8,"36684732, 32887476, 28436326, 28245582, 26058418, 24295699, 23439656"
"133","Mushrooms","aspartic acid",9,"35075427, 33233206, 30806233, 30629799, 28245582, 27579012, 23983533, 10347700, 9644258"
"134","Mushrooms","d",7,"34936304, 26938194, 23875900, 22870201, 16022766, 2502983"
"135","Mushrooms","ile",2,"33711408, 7571860"
"136","Mushrooms","phe",17,"33711408, 32711757, 31108770, 27102128, 7571860, 8441706"
"137","Mushrooms","glu",4,"33580387, 29773009"
"138","Mushrooms","thr",3,"33505054, 23497867, 14586131"
"139","Mushrooms","trp",9,"32865896, 30458066, 27030509, 24425348, 9644258"
"140","Mushrooms","r",1,"26058418"
"141","Mushrooms","pro",5,"20564017, 17682769, 14586131"
"142","Mushrooms","lys",5,"9644258"
"143","Mushrooms","his",1,"7571860"
"144","Peltigera aphthosa","glutamine",5,"24301158"
"145","Peltigera aphthosa","alanine",4,"24301158, 24301852"
"146","Picea engelmannii","arginine",1,"24831958"
"147","Picea engelmannii","alanine",1,"24831958"
"148","Picea engelmannii","d",1,"22246589"
"149","Picea engelmannii","glutamic acid",1,"7125651"
"150","Picea engelmannii","phenylalanine",1,"7125651"
"151","Picea glauca","proline",4,"34539690, 15596100, 14972940"
"152","Picea glauca","arginine",3,"34539690, 15596100, 14972940"
"153","Picea glauca","asp",1,"26680643"
"154","Picea glauca","glu",5,"26680643, 15596100, 16666996"
"155","Picea glauca","glutamine",6,"26454474, 15596100, 30727652, 24248937"
"156","Picea glauca","glutamic acid",1,"26454474"
"157","Picea glauca","leucine",5,"24065735, 21143995, 18848454"
"158","Picea glauca","tyrosine",1,"20833629"
"159","Picea glauca","valine",1,"19195904"
"160","Picea glauca","isoleucine",1,"19195904"
"161","Picea glauca","l",2,"17400467, 16740495"
"162","Picea glauca","gln",4,"15596100, 16666996"
"163","Picea glauca","arg",3,"15596100, 16666996"
"164","Picea glauca","pro",2,"15596100, 16666996"
"165","Picea glauca","serine",2,"13677463, 10949369"
"166","Picea glauca","cys",1,"13677463"
"167","Picea glauca","lysine",2,"10949369"
"168","Picea glauca","glycine",3,"10580158, 14972940"
"169","Picea glauca","alanine",1,"14972940"
"170","Picea glauca","ala",2,"16666996"
"171","Picea mariana","glutamine",1,"26454474"
"172","Picea mariana","glutamic acid",1,"26454474"
"173","Picea mariana","methionine",2,"14967637"
"174","Picea mariana","proline",4,"14969885, 14972940"
"175","Picea mariana","pro",1,"14969885"
"176","Picea mariana","arginine",2,"14969885, 14972940"
"177","Picea mariana","arg",2,"14969885"
"178","Picea mariana","tryptophan",1,"14969885"
"179","Picea mariana","trp",3,"14969885"
"180","Picea mariana","alanine",1,"14972940"
"181","Picea mariana","glycine",1,"14972940"
"182","Pinus banksiana","serine",1,"10385993"
"183","Pinus banksiana","d",1,"7486997"
"184","Pinus banksiana","leucine",2,"7486997"
"185","Pinus banksiana","methionine",2,"14967637"
"186","Pinus banksiana","asp",1,"14969960"
"187","Pinus banksiana","gln",1,"14969960"
"188","Pinus banksiana","arg",1,"14969960"
"189","Pinus banksiana","phenylalanine",1,"24186738"
"190","Pinus banksiana","alanine",1,"14972940"
"191","Pinus banksiana","arginine",1,"14972940"
"192","Pinus banksiana","glycine",1,"14972940"
"193","Pinus banksiana","proline",2,"14972940"
"194","Pinus contorta","arginine",1,"30621354"
"195","Pinus contorta","phenylalanine",1,"18550683"
"196","Pinus contorta","phe",3,"18550683"
"197","Pinus contorta","d",1,"12865249"
"198","Pinus contorta","serine",1,"7999999"
"199","Pinus contorta","histidine",2,"7999999, 8307957"
"200","Pinus contorta","glutamine",3,"33874350"
"201","Polygonum cilinode","thr",5,"37584133, 37148413, 28184937"
"202","Polygonum cilinode","ser",6,"37584133, 37418158, 37148413, 28184937"
"203","Polygonum cilinode","tyr",5,"37148413, 35092943, 26640791"
"204","Polygonum cilinode","tyrosine",10,"37011521, 35464762, 34888140, 33246026, 32426606, 30709346, 29136779, 26477638, 16214209"
"205","Polygonum cilinode","alanine",3,"36990846, 34712722, 33734400"
"206","Polygonum cilinode","glutamine",1,"36758914"
"207","Polygonum cilinode","phenylalanine",4,"36758914, 33330552, 32426606, 31024306"
"208","Polygonum cilinode","tryptophan",6,"36758914, 33303189, 31761827, 27620661, 27585574, 17252408"
"209","Polygonum cilinode","arginine",6,"36536492, 36116152, 33734400, 31761827, 25623491, 22521276"
"210","Polygonum cilinode","q",2,"35744785"
"211","Polygonum cilinode","proline",5,"35457178, 33336449, 31761827, 28184937"
"212","Polygonum cilinode","methionine",2,"35220131, 33164440"
"213","Polygonum cilinode","cysteine",6,"35076219, 33111343, 29184146, 18930899"
"214","Polygonum cilinode","histidine",2,"33734400, 31630224"
"215","Polygonum cilinode","aspartic acid",1,"33734400"
"216","Polygonum cilinode","r",1,"33454585"
"217","Polygonum cilinode","phe",4,"33381593"
"218","Polygonum cilinode","glycine",3,"33362813, 1363598"
"219","Polygonum cilinode","serine",7,"33111343, 30582370, 28184937, 26379894, 20573598, 16254825"
"220","Polygonum cilinode","threonine",4,"33111343, 28184937, 16254825"
"221","Polygonum cilinode","pro",3,"28184937"
"222","Polygonum cilinode","his",1,"27560927"
"223","Polygonum cilinode","trp",2,"26640791"
"224","Polygonum cilinode","lysine",6,"26434977, 26360047, 7410266"
"225","Polygonum cilinode","glutamic acid",2,"25888297, 1363598"
"226","Polygonum cilinode","l",1,"23895917"
"227","Polygonum cilinode","glu",1,"16570808"
"228","Populus balsamifera","phe",3,"33097512"
"229","Populus balsamifera","glutamine",1,"16414931"
"230","Populus balsamifera","gln",4,"16414931"
"231","Populus balsamifera","asparagine",1,"16414931"
"232","Populus balsamifera","asn",2,"16414931"
"233","Populus tremuloides","q",1,"29509942"
"234","Populus tremuloides","proline",1,"24465084"
"235","Populus tremuloides","leucine",3,"23647338, 17331677, 15146331"
"236","Populus tremuloides","glycine",5,"21569493, 17355947, 14984933"
"237","Populus tremuloides","pro",2,"17601615"
"238","Populus tremuloides","thr",2,"17601615"
"239","Populus tremuloides","cys",1,"17601615"
"240","Populus tremuloides","phe",2,"17601615, 15448196"
"241","Populus tremuloides","lys",1,"17601615"
"242","Populus tremuloides","glu",1,"17601615"
"243","Populus tremuloides","serine",2,"17355947"
"244","Populus tremuloides","phenylalanine",1,"15653811"
"245","Populus tremuloides","gly",1,"15448196"
"246","Populus tremuloides","ser",1,"15448196"
"247","Populus tremuloides","asn",2,"15448196"
"248","Populus tremuloides","methionine",1,"10692459"
"249","Pteridium aquilinum","q",1,"26970301"
"250","Pteridium aquilinum","tyrosine",1,"22312276"
"251","Pteridium aquilinum","leucine",2,"17083965, 24519595"
"252","Pteridium aquilinum","cysteine",1,"10970694"
"253","Rhamalina intermedia","lysine",11,"37347817, 26662717, 16806047, 10733869, 1423726, 2356183, 2967443, 446880, 277917, 270671, 1091485"
"254","Rhamalina intermedia","trp",6,"36963559, 33278449, 21354584, 19245409, 16909861, 2552247"
"255","Rhamalina intermedia","arginine",23,"36919705, 36496836, 27312988, 26617937, 25488617, 24068934, 23041992, 18221395, 17709895, 17608814, 12625826, 10203506, 1336791, 2356183, 3126032, 2967443, 3906615, 6274867"
"256","Rhamalina intermedia","asparagine",4,"36496836, 2260977, 228277"
"257","Rhamalina intermedia","cysteine",32,"36496836, 32950726, 31913843, 30980081, 27488102, 25263382, 23751278, 22368239, 21160219, 19905954, 18353326, 21386161, 17993455, 12679085, 12625826, 12589956, 9989383, 9354029, 547560"
"258","Rhamalina intermedia","glutamine",3,"36496836, 1531376"
"259","Rhamalina intermedia","his",21,"35350447, 28630069, 27694441, 26041027, 23658852, 17263560, 16581177, 14578575, 12419302, 10559178, 2552247"
"260","Rhamalina intermedia","histidine",12,"35268804, 31899475, 19814715, 17993455, 17660282, 17577058, 12625826, 11740732, 9337848, 9180180"
"261","Rhamalina intermedia","methionine",17,"35268804, 34707622, 31899475, 30980081, 24116118, 21160219, 6201416, 7461898, 227883, 228277, 277917, 270671"
"262","Rhamalina intermedia","serine",43,"35048038, 33195827, 33180328, 29498084, 28207237, 25557851, 22514678, 22490684, 20644878, 19455508, 19088890, 16806047, 16586023, 16319501, 14578575, 12753473, 12007665, 11449301, 10695968, 10023807, 9690796, 9644202, 8357246, 2694247, 2955585"
"263","Rhamalina intermedia","glycine",17,"35048038, 30729346, 18024989, 17007829, 8977395, 8584110, 2579351, 952767, 5028257"
"264","Rhamalina intermedia","gln",2,"34957901, 19245409"
"265","Rhamalina intermedia","arg",15,"34957901, 32727229, 31913843, 28366026, 26041027, 19787403, 17263560, 17241171, 10220176, 2552247, 2985446"
"266","Rhamalina intermedia","alanine",6,"34634338, 25476779, 21872636, 19818803, 18765244, 17993455"
"267","Rhamalina intermedia","leucine",23,"32973836, 24711565, 20308299, 11155172, 8567445, 8357246, 4077698, 6191178, 7241542, 7019274, 6895257, 227883, 667361, 277917, 845533, 168285, 5122831, 5090917, 5472415"
"268","Rhamalina intermedia","ser",15,"32727229, 26041027, 19245409, 17263560, 16628732, 14578575, 2260977, 2552247, 7173395"
"269","Rhamalina intermedia","tyrosine",61,"31729696, 30370602, 25153147, 22594540, 15796757, 12753472, 11781142, 10201817, 9667806, 9662275, 9654126, 9498164, 8789282, 7553775, 7526268, 1423726, 19912827, 1672625, 2514395, 2955585, 24233334, 2876012, 2858104, 6099818, 6092211, 6130846, 7262088, 7378508, 1089664, 1091485, 5423821"
"270","Rhamalina intermedia","proline",6,"30980081, 27708211, 16326009, 11042028, 10189832, 184228"
"271","Rhamalina intermedia","phenylalanine",10,"30980081, 24959733, 6268419, 6263313, 227883"
"272","Rhamalina intermedia","threonine",5,"30980081, 18024989, 11074535, 9644202"
"273","Rhamalina intermedia","phe",5,"30419384, 24344268, 19245409, 2552247"
"274","Rhamalina intermedia","ala",14,"28630069, 26041027, 24640241, 19818803, 18932074, 2552247, 3390396, 7173395, 934737"
"275","Rhamalina intermedia","lys",13,"28366026, 26041027, 23226336, 22943111, 19832801, 17263560, 17241171, 15768559, 10220176, 2552247"
"276","Rhamalina intermedia","tryptophan",27,"27914477, 25476779, 21386161, 17993455, 12657300, 8926765, 231893, 573249, 1248948, 163855"
"277","Rhamalina intermedia","cys",9,"27694441, 23226336, 9989383, 9644202, 2434529"
"278","Rhamalina intermedia","glu",8,"26041027, 23226336, 22943111, 15768559, 14688008, 8537236, 2552247"
"279","Rhamalina intermedia","asp",12,"26041027, 19832801, 18654886, 17263560, 14578575, 11042028, 8483947, 2378988"
"280","Rhamalina intermedia","leu",7,"26041027, 21797711, 19245409, 11042028, 998617, 1168915"
"281","Rhamalina intermedia","ile",3,"26041027, 19245409, 16628732"
"282","Rhamalina intermedia","val",10,"26041027, 19245409, 17007829, 11042028, 9028819, 8537236, 8194743, 2552247"
"283","Rhamalina intermedia","pro",9,"26041027, 18932074, 11042028, 1352186, 2552247, 998617, 1168915"
"284","Rhamalina intermedia","gly",10,"26041027, 19245409, 17655700, 17263560, 17007829, 11042028, 9028819, 2552247"
"285","Rhamalina intermedia","tyr",6,"25961401, 19832801, 16628732, 7669224, 2552247"
"286","Rhamalina intermedia","glutamic acid",8,"25254090, 30634243, 12654101, 1985702, 3000738, 6952219"
"287","Rhamalina intermedia","asn",4,"19245409, 15768559, 2260977"
"288","Rhamalina intermedia","thr",7,"18654887, 17263560, 12358701, 8483947, 2260977"
"289","Rhamalina intermedia","aspartic acid",3,"18024989, 12654101, 10651741"
"290","Rhamalina intermedia","valine",5,"17007829, 11155172, 10651741, 1985702, 6099818"
"291","Rhamalina intermedia","r",1,"17248973"
"292","Rubus chamaemorus","tyrosine",1,"27270323"
"293","Rubus idaeus","proline",2,"28250585"
"294","Rubus idaeus","tryptophan",2,"18646765, 15563229"
"295","Rubus idaeus","trp",5,"18646765"
"296","Salix discolor","cysteine",1,"9501144"
"297","Salix discolor","histidine",1,"9501144"
"298","Salix discolor","arginine",1,"9501144"
"299","Salix serissima","alanine",2,"37679433, 32712103"
"300","Salix serissima","proline",19,"37595402, 37384415, 36452112, 36100647, 34421844, 32798899, 32062275, 31900781, 30355801, 29017130, 28964974, 28261257, 25435797, 19536609"
"301","Salix serissima","ser",23,"37199753, 36780159, 36716031, 35750249, 22311013"
"302","Salix serissima","arg",1,"37199753"
"303","Salix serissima","cys",1,"37199753"
"304","Salix serissima","serine",4,"37198686, 35161226, 8790281"
"305","Salix serissima","arginine",10,"37046763, 33427530, 9501144"
"306","Salix serissima","pro",1,"36866389"
"307","Salix serissima","cysteine",4,"32745791, 23562959, 17253159, 9501144"
"308","Salix serissima","ile",1,"32308662"
"309","Salix serissima","glutamine",2,"31785173, 31136680"
"310","Salix serissima","trp",4,"30346384, 29127795"
"311","Salix serissima","phe",14,"29249024, 26247604, 10712554"
"312","Salix serissima","tyrosine",5,"28071035, 26753794, 10712554"
"313","Salix serissima","phenylalanine",4,"28071035, 26070140, 12921436, 10712554"
"314","Salix serissima","leucine",5,"28002449, 26753794, 22986820, 15120117"
"315","Salix serissima","glutamic acid",1,"26753794"
"316","Salix serissima","tryptophan",4,"25545673, 22913630, 10712554"
"317","Salix serissima","asparagine",3,"16137157, 15981035, 14575745"
"318","Salix serissima","glycine",2,"15868162"
"319","Salix serissima","histidine",1,"9501144"
"320","Sheperdia canadensis","proline",15,"37098465, 37060802, 34030399, 28384230, 28243831, 28081272, 26858741, 25544588, 16011164, 3755960"
"321","Sheperdia canadensis","arginine",12,"36358934, 31226372, 22038809, 19746966"
"322","Sheperdia canadensis","phe",10,"35682588, 27517944, 9826430"
"323","Sheperdia canadensis","leucine",2,"34647200, 31031947"
"324","Sheperdia canadensis","serine",5,"32983823, 20591503, 9572849, 9591363"
"325","Sheperdia canadensis","q",2,"28475935"
"326","Sheperdia canadensis","glycine",3,"28243831, 24860113, 17267952"
"327","Sheperdia canadensis","ser",5,"27154977, 24148019, 9662495, 9591363"
"328","Sheperdia canadensis","threonine",7,"26262966, 24821472, 9572849, 9591363"
"329","Sheperdia canadensis","lysine",3,"26216418, 11421444, 9591363"
"330","Sheperdia canadensis","gly",4,"25230152"
"331","Sheperdia canadensis","alanine",4,"24860113, 20843149, 9662495, 9591363"
"332","Sheperdia canadensis","glutamic acid",2,"24860113, 11421444"
"333","Sheperdia canadensis","phenylalanine",4,"24149320, 21361343, 24241738"
"334","Sheperdia canadensis","ala",4,"24148019, 9662495, 9591363"
"335","Sheperdia canadensis","asn",3,"24148019, 9662495"
"336","Sheperdia canadensis","cys",12,"24148019, 9826425, 9662495, 9572849, 9591363"
"337","Sheperdia canadensis","tyr",1,"24148019"
"338","Sheperdia canadensis","pro",1,"24148019"
"339","Sheperdia canadensis","glu",2,"24148019, 15977794"
"340","Sheperdia canadensis","tyrosine",5,"21361343, 2149386, 24241738"
"341","Sheperdia canadensis","leu",1,"21361343"
"342","Sheperdia canadensis","d",1,"15542052"
"343","Sheperdia canadensis","thr",5,"9662495, 9591363"
"344","Sheperdia canadensis","asp",1,"9662495"
"345","Sheperdia canadensis","lys",1,"9662495"
"346","Sheperdia canadensis","asparagine",2,"9591363"
"347","Sheperdia canadensis","cysteine",1,"9591363"
"348","Trifolium spp.","serine",3,"31197117, 30041474"
"349","Typha latifolia","proline",1,"36862298"
"350","Typha latifolia","phe",6,"28323450"
"351","Typha latifolia","met",2,"26852211, 25966936"
"352","Typha latifolia","cysteine",2,"16146312"
"353","Vaccinium angustifolium","proline",1,"32165688"
"354","Vaccinium angustifolium","phe",9,"23944991, 20964405, 20709513, 19157824"
"355","Vaccinium uliginosum","glutamine",1,"37143547"
"356","Vaccinium uliginosum","glycine",3,"20648750"
"357","Vaccinium vitis-idaea","glycine",5,"30846721, 20648750"
"358","Vaccinium vitis-idaea","proline",2,"28624857"
"359","Vaccinium vitis-idaea","serine",1,"27739180"
"360","Vaccinium vitis-idaea","tryptophan",2,"15769130, 15563229"
