"","species","chemical","formula","iupac"
"25","Abies balsamea","metal","C23H32Cl2NNaO6P+","sodium;[(8R,9S,13S,14S,17S)-13-methyl-17-phosphonooxy-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl] N,N-bis(2-chloroethyl)carbamate"
"26","Abies balsamea","metal","CH2O2","formic acid"
"27","Abies balsamea","beta-pinene","C10H16","6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane"
"28","Abies balsamea","beta-pinene","C10H16","(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane"
"29","Abies balsamea","beta-pinene","C8H12","2-methylidenebicyclo[3.1.1]heptane"
"30","Abies balsamea","beta-pinene","C7H5BrF3NO2S","4-bromo-2-(trifluoromethyl)benzenesulfonamide"
"31","Abies balsamea","delta-3-carene","C10H16","3,7,7-trimethylbicyclo[4.1.0]hept-3-ene"
"32","Abies balsamea","delta-3-carene","C10H16","(1S,6R)-3,7,7-trimethylbicyclo[4.1.0]hept-3-ene"
"33","Abies balsamea","alpha-pinene","C10H16","2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"
"34","Abies balsamea","alpha-pinene","C10H16","(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"
"35","Abies balsamea","alpha-pinene","C10H16","(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"
"36","Abies balsamea","alpha-pinene","C10H16","(5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"
"37","Abies balsamea","alpha-pinene","C10H16","3,6,6-trimethylbicyclo[3.1.1]hept-2-ene"
"38","Abies balsamea","alpha-pinene","C9H7ClN2O","N-(4-chloro-3-cyanophenyl)acetamide"
"39","Abies balsamea","beta-caryophyllene","C15H24","(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene"
"40","Abies balsamea","beta-caryophyllene","C15H24","(1R,4Z,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene"
"41","Abies balsamea","beta-caryophyllene","C15H24","(4Z)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene"
"42","Abies balsamea","beta-caryophyllene","C15H24","4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene"
"43","Abies balsamea","beta-caryophyllene","C15H24","(1R,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene"
"44","Abies balsamea","beta-caryophyllene","C11H8BrN3","(4-bromophenyl)-pyridin-4-yldiazene"
"45","Abies balsamea","beta-caryophyllene","C15H24","(1S,4E,9R)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene"
"46","Abies balsamea","alpha-humulene","C15H24","(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene"
"47","Abies balsamea","alpha-humulene","C15H24","2,6,6,9-tetramethylcycloundeca-1,4,8-triene"
"48","Abies balsamea","alpha-humulene","C15H24","(1Z,4Z,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene"
"49","Abies balsamea","alpha-humulene","C15H24","(1Z,4Z,8Z)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene"
"50","Abies balsamea","alpha-humulene","C15H24","(1Z,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene"
"51","Abies balsamea","alpha-humulene","C15H24","(1E,4Z,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene"
"52","Abies balsamea","carbohydrates","C6H8O6","2,3-diformyloxypropyl formate"
"53","Abies balsamea","carbohydrates","C10H18O2","3-(3-ethylcyclopentyl)propanoic acid"
"54","Abies balsamea","carbohydrates","C21H38O4","3-(4-ethylcyclohexyl)propanoic acid;3-(3-ethylcyclopentyl)propanoic acid"
"55","Abies balsamea","carbohydrates","C7H10O2","cyclohex-3-ene-1-carboxylic acid"
"56","Abies balsamea","carbohydrates","C11H8O2","naphthalene-2-carboxylic acid"
"57","Abies balsamea","carbohydrate","C42H80NO8P","[(2R)-3-hexadecanoyloxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate"
"58","Abies balsamea","carbohydrate","C40H80NO8PS2","[(2R)-2,3-bis[(2-tetradecylsulfanylacetyl)oxy]propyl] 2-(trimethylazaniumyl)ethyl phosphate"
"59","Abies balsamea","carbohydrate","C42H80NO8P","[3-hexadecanoyloxy-2-[(9E,12E)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate"
"60","Abies balsamea","carbohydrate","C42H82NO8P","[(2R)-3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate"
"61","Abies balsamea","carbohydrate","C46H89NO8P+","2-[2,3-bis[[(E)-nonadec-9-enoyl]oxy]propoxy-hydroxyphosphoryl]oxyethyl-trimethylazanium"
"62","Abies balsamea","carbohydrate","C42H80NO8P","[(2R)-3-hexadecanoyloxy-2-[(9E,12E)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate"
"63","Abies balsamea","carbohydrate","C10H21NO8P+","2-[2,3-diformyloxypropoxy(hydroxy)phosphoryl]oxyethyl-trimethylazanium"
"64","Abies balsamea","carbohydrate","C40H80NO8P","2,3-di(hexadecanoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphate"
"65","Abies balsamea","carbohydrate","C12H24NO7P","[(2S)-2,3-diacetyloxypropoxy]-[2-(trimethylazaniumyl)ethyl]phosphinate"
"66","Abies balsamea","carbohydrate","C18H24N2O4S","(2-phenylcyclopropyl)azanium;sulfate"
"67","Abies balsamea","carbohydrate","C42H81NO8P+","2-[[(2R)-3-hexadecanoyloxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium"
"68","Abies balsamea","abg","C11H18N5O12P3","[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]methylphosphonic acid"
"69","Abies balsamea","caryophyllene oxide","C15H24O","(1R,4R,6R,10S)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"70","Abies balsamea","caryophyllene oxide","C15H24O","4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"71","Abies balsamea","caryophyllene oxide","C15H24O","(4R)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"72","Abies balsamea","caryophyllene oxide","C15H24O","(1R,4R,6S,10R)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"73","Abies balsamea","caryophyllene oxide","C15H24O","(1R,4R,6S,10S)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"74","Abies balsamea","caryophyllene oxide","C15H24O","(1R)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"75","Abies balsamea","caryophyllene oxide","C15H24O","(1R,4S,6R,10S)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"76","Abies balsamea","caryophyllene oxide","C15H24O","(1S,4S,6S,10R)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"77","Abies balsamea","caryophyllene oxide","C15H24O","(1S,4R,6S,10R)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"78","Abies balsamea","caryophyllene oxide","C15H24O","(4R,6R)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"79","Abies balsamea","caryophyllene oxide","C15H24O","(1S,4R,6S,10S)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"80","Abies balsamea","caryophyllene oxide","C15H24O","(1S,4R,10R)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"81","Abies balsamea","caryophyllene oxide","C15H24O","(1S,4S,10R)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6]dodecane"
"83","Abies balsamea","gsh","C10H17N3O6S","(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"84","Abies balsamea","gsh","C10H17N3O6S","2-amino-5-[[1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"85","Abies balsamea","gsh","C10H18N4O5S","(2S)-2-amino-5-[[(2R)-1-[(2-amino-2-oxoethyl)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"86","Abies balsamea","gsh","C20H32N6O12S2","(2S)-2-amino-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]disulfanyl]-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid"
"87","Abies balsamea","gsh","C10H16N3O6S-","(2S)-2-azaniumyl-5-[[(2R)-1-(carboxylatomethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate"
"88","Abies balsamea","gsh","C10H18N3O6S+","[(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]sulfanium"
"89","Abies balsamea","gsh","C10H18N3O6S+","[(1S)-1-carboxy-4-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-4-oxobutyl]azanium"
"90","Abies balsamea","gsh","C9H16N2O4S","2-[[(2R)-2-(butanoylamino)-3-sulfanylpropanoyl]amino]acetic acid"
"91","Abies balsamea","gsh","C10H17N3O6S","(2R)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"92","Abies balsamea","gsh","C10H17N3O6S","2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"93","Abies balsamea","gsh","C7H12N2O4S","2-[[(2R)-2-acetamido-3-sulfanylpropanoyl]amino]acetic acid"
"94","Abies balsamea","gsh","C10H16N3O6S-","(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropane-1-thiolate"
"95","Abies balsamea","gsh","C10H16N3O6S-","(2R)-2-[[(4R)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropane-1-thiolate"
"96","Abies balsamea","gsh","C5H10N2O3","(2S)-2,5-diamino-5-oxopentanoic acid"
"97","Abies balsamea","gsh","C7H12N2O4S","N-[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfaniumylpropan-2-yl]ethanimidate"
"98","Abies balsamea","gsh","C9H18N2O2S","N-[(2R)-1-(ethylamino)-1-oxo-3-sulfanylpropan-2-yl]butanamide"
"99","Abies balsamea","gsh","C4H10N2OS","N-[(2R)-1-amino-3-sulfanylpropan-2-yl]formamide"
"100","Abies balsamea","gsh","C4H11NS","(2R)-2-(methylamino)propane-1-thiol"
"101","Abies balsamea","gsh","C8H15N3O4S","(2S)-2-amino-5-[[(2R)-1-amino-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid"
"102","Abies balsamea","gsh","H2S","sulfane"
"103","Abies balsamea","gsh","CH4S","methanethiol"
"104","Abies balsamea","gsh","C3H9NS","(2R)-2-aminopropane-1-thiol"
"105","Abies balsamea","gsh","C3H7NOS","(2R)-2-amino-3-sulfanylpropanal"
"106","Abies balsamea","gsh","C3H8N2OS","(2R)-2-amino-3-sulfanylpropanamide"
"107","Abies balsamea","gsh","C4H10N2OS","(2R)-2-(methylamino)-3-sulfanylpropanamide"
"108","Abies balsamea","gsh","C5H10N2O2S","(2R)-2-acetamido-3-sulfanylpropanamide"
"109","Abies balsamea","gsh","C4H10N2OS","(2R)-2-amino-N-methyl-3-sulfanylpropanamide"
"110","Abies balsamea","ethrel","C2H6ClO3P","2-chloroethylphosphonic acid"
"111","Abies balsamea","lanolin","C34H68O2","octadecyl hexadecanoate"
"112","Abies balsamea","lanolin","C47H64N5O9PSi","N-[1-[(2R,3R,4R,5R)-5-[[bis(4-methoxyphenyl)-phenylmethoxy]methyl]-3-[tert-butyl(dimethyl)silyl]oxy-4-[2-cyanoethoxy-[di(propan-2-yl)amino]phosphanyl]oxyoxolan-2-yl]-2-oxopyrimidin-4-yl]acetamide"
"113","Abies balsamea","fructose","C6H12O6","(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol"
"114","Abies balsamea","fructose","C6H12O6","(3S,4R,5R)-1,3,4,5,6-pentahydroxyhexan-2-one"
"115","Abies balsamea","fructose","C6H12O6","(2R,3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol"
"116","Abies balsamea","fructose","C6H12O6","(2R,3S,4S,5R)-2,5-bis(hydroxymethyl)oxolane-2,3,4-triol"
"117","Abies balsamea","fructose","C6H12O6","1,3,4,5,6-pentahydroxyhexan-2-one"
"118","Abies balsamea","fructose","C6H12O6","(2S,3R,4R,5S)-2,5-bis(hydroxymethyl)oxolane-2,3,4-triol"
"119","Abies balsamea","fructose","C6H12O6","2-(hydroxymethyl)oxane-2,3,4,5-tetrol"
"120","Abies balsamea","fructose","C6H12O6","(2S,3R,4S,5S)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol"
"121","Abies balsamea","fructose","C6H12O6","(3R,4R,5S)-2,5-bis(hydroxymethyl)oxolane-2,3,4-triol"
"122","Abies balsamea","fructose","C6H12O6","(2R,4S,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol"
"123","Abies balsamea","fructose","C6H12O6","(3S,4S,5R)-2,5-bis(hydroxymethyl)oxolane-2,3,4-triol"
"124","Abies balsamea","fructose","C6H11O6+","(2R,3S,4S,5R)-2,5-bis(hydroxymethyl)-6-oxa-1-oxoniabicyclo[3.1.0]hexane-3,4-diol"
"125","Abies balsamea","fructose","C6H12O6","2,5-bis(hydroxymethyl)oxolane-2,3,4-triol"
"126","Abies balsamea","sucrose","C12H22O11","(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"127","Abies balsamea","sucrose","C12H22O11","2-[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"128","Abies balsamea","sucrose","C12H22O12","2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-3,4,5-trihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxyoxane-3,4,5-triol"
"129","Abies balsamea","sucrose","C12H22O11","2-[(2S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"130","Abies balsamea","sucrose","C12H22O11","(2R,3S,4R,5R,6S)-2-[(2R,3R,4R,5S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"131","Abies balsamea","sucrose","C12H22O11","(2S,3R,4R,5R,6R)-2-[(2R,3R,4R,5S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"132","Abies balsamea","sucrose","C12H22O11","(2R,3R,4S,5S,6R)-2-[(2R,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"133","Abies balsamea","sucrose","C12H22O11","(2R,5S,6R)-2-[(2S,3S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"134","Abies balsamea","sucrose","C12H20O11","(2R,3R,6R)-6-[(2S,3S,4R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-3,4,5-triol"
"135","Abies balsamea","sucrose","C12H18O11","(2R,3R,6R)-6-[[(2S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)-3H-furan-2-yl]oxy]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-3,4,5-triol"
"136","Abies balsamea","sucrose","C12H20O11","(2R,4R,6R)-2-[[(2S,3S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)-3H-furan-2-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
"137","Abies balsamea","sucrose","C12H22O11","(2R,3S,4R,5S,6R)-2-[(2S,3S,4R,5S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"138","Abies balsamea","sucrose","C12H22O11","(2R,3R,4S,5S,6R)-2-[(2S,3R,4R,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"139","Abies balsamea","sucrose","C12H22O11","(2R,4S,5S)-2-[(2S,4R,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"140","Abies balsamea","sucrose","C12H22O11","(2S,3S,4R,5R,6S)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"141","Abies balsamea","sucrose","C6H12O6","(2S,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol"
"142","Abies balsamea","sucrose","C12H22O11","(2R,3R,4S,5S,6R)-2-[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"143","Abies balsamea","sucrose","C12H22O11","(2R,4R,5S)-2-[(2S,3R,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"144","Abies balsamea","sucrose","C12H22O11","(2S,5R)-2-[(2R,5S)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"145","Abies balsamea","sucrose","C12H22O10","(2R,3R,4S,5S,6R)-2-[(2R,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-methyloxane-3,4,5-triol"
"146","Abies balsamea","sucrose","C12H20O12","(2R,3R,4S,5S,6R)-2-[[(1S,3S,4S,5S)-4-hydroxy-1,3-bis(hydroxymethyl)-2,6,7-trioxabicyclo[3.2.0]heptan-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
"147","Abies balsamea","sucrose","C13H22O11","(2R,3R,4S,5S,6R)-2-[(2R,3S,4S,5S)-3,4-dihydroxy-2-(hydroxymethyl)-5-[(2S)-oxiran-2-yl]oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"148","Abies balsamea","sucrose","C14H21O11+","(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-[(3S,4R)-1-oxoniatricyclo[1.1.0.02,4]butan-2-yl]oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"149","Abies balsamea","sucrose","C12H24O12","(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol;hydrate"
"150","Abies balsamea","sucrose","C12H22O11","(2R,3R,4R,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"
"151","Abies balsamea","sucrose","C28H48O","(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5,6-dimethylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
"152","Abies balsamea","sucrose","C28H48O","17-(5,6-dimethylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
"153","Abies balsamea","sucrose","C28H48O","(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5S)-5,6-dimethylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
"154","Abies balsamea","sucrose","C28H48O","(8R,9S,10S,13R,14S,17R)-17-[(2R,5R)-5,6-dimethylheptan-2-yl]-10,13-dimethyl-4,5,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
"155","Abies balsamea","sucrose","C28H48O","(3S)-17-(5,6-dimethylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
"156","Abies balsamea","sucrose","C27H46O","17-(5,6-dimethylheptan-2-yl)-10-methyl-1,2,3,4,7,8,9,11,12,13,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-ol"
"157","Abies balsamea","sucrose","C28H48O","(3S,8S,9S,14S,17R)-17-[(2R,5R)-5,6-dimethylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
"158","Abies balsamea","sucrose","C6H7ClN2O2","2-methyl-3-nitropyridine;hydrochloride"
"159","Abies balsamea","sucrose","C5H9NO4","(2S)-2-aminopentanedioic acid"
"160","Abies balsamea","sucrose","C5H8NO4-","(2S)-2-amino-5-hydroxy-5-oxopentanoate"
"161","Abies balsamea","sucrose","C5H9NO4","2-aminopentanedioic acid"
"162","Abies balsamea","sucrose","C5H8NO4-","2-azaniumylpentanedioate"
"163","Abies balsamea","sucrose","C5H7NO4-2","2-aminopentanedioate"
"164","Abies balsamea","sucrose","C5H9NO4","(2R)-2-aminopentanedioic acid"
"165","Abies balsamea","sucrose","C5H8NO4-","(2R)-2-amino-5-hydroxy-5-oxopentanoate"
"166","Abies balsamea","sucrose","C5H7NO4-2","(2S)-2-aminopentanedioate"
"167","Abies balsamea","sucrose","C5H7NO4-2","(2R)-2-aminopentanedioate"
"169","Abies balsamea","sugar","C20H25N3O","(6aR,9R)-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
"171","Abies balsamea","sugar","C17H21NO4","methyl (1R,2R,3S,5S)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate"
"172","Abies balsamea","sugar","C17H21NO4","methyl (2R,3S)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate"
"175","Abies balsamea","sugar","C6H12O6","(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal"
